real_sample,Annotation_of_cell_types,Annotation_of_cell_types_real_sample,Condition,Genotype
KO_HT1,B_cells,B_cells_KO_HT1,untreated,KO
KO_HT2,B_cells,B_cells_KO_HT2,untreated,KO
KO_HT3,B_cells,B_cells_KO_HT3,untreated,KO
KO_HT4,B_cells,B_cells_KO_HT4,untreated,KO
KO_MNU_1_HT1,B_cells,B_cells_KO_MNU_1_HT1,treated,KO
KO_MNU_1_HT2,B_cells,B_cells_KO_MNU_1_HT2,treated,KO
KO_MNU_1_HT3,B_cells,B_cells_KO_MNU_1_HT3,treated,KO
KO_MNU_1_HT4,B_cells,B_cells_KO_MNU_1_HT4,treated,KO
KO_MNU_2_HT1,B_cells,B_cells_KO_MNU_2_HT1,treated,KO
KO_MNU_2_HT2,B_cells,B_cells_KO_MNU_2_HT2,treated,KO
KO_MNU_2_HT3,B_cells,B_cells_KO_MNU_2_HT3,treated,KO
KO_MNU_2_HT4,B_cells,B_cells_KO_MNU_2_HT4,treated,KO
WT_HT1,B_cells,B_cells_WT_HT1,untreated,WT
WT_HT2,B_cells,B_cells_WT_HT2,untreated,WT
WT_HT3,B_cells,B_cells_WT_HT3,untreated,WT
WT_HT4,B_cells,B_cells_WT_HT4,untreated,WT
WT_MNU_1_HT1,B_cells,B_cells_WT_MNU_1_HT1,treated,WT
WT_MNU_1_HT3,B_cells,B_cells_WT_MNU_1_HT3,treated,WT
WT_MNU_1_HT4,B_cells,B_cells_WT_MNU_1_HT4,treated,WT
WT_MNU_1_HT5,B_cells,B_cells_WT_MNU_1_HT5,treated,WT
WT_MNU_2_HT1,B_cells,B_cells_WT_MNU_2_HT1,treated,WT
WT_MNU_2_HT3,B_cells,B_cells_WT_MNU_2_HT3,treated,WT
WT_MNU_2_HT4,B_cells,B_cells_WT_MNU_2_HT4,treated,WT
WT_MNU_2_HT5,B_cells,B_cells_WT_MNU_2_HT5,treated,WT
KO_HT1,CCR7_and_DCs,CCR7_and_DCs_KO_HT1,untreated,KO
KO_HT2,CCR7_and_DCs,CCR7_and_DCs_KO_HT2,untreated,KO
