"Annotation_of_cell_types_real_sample","real_sample","Annotation_of_cell_types","Condition","Genotype"
"B_cells_KO_HT1","KO_HT1","B_cells","untreated","KO"
"B_cells_KO_HT2","KO_HT2","B_cells","untreated","KO"
"B_cells_KO_HT3","KO_HT3","B_cells","untreated","KO"
"B_cells_KO_HT4","KO_HT4","B_cells","untreated","KO"
"B_cells_KO_MNU_1_HT1","KO_MNU_1_HT1","B_cells","treated","KO"
"B_cells_KO_MNU_1_HT2","KO_MNU_1_HT2","B_cells","treated","KO"
"B_cells_KO_MNU_1_HT3","KO_MNU_1_HT3","B_cells","treated","KO"
"B_cells_KO_MNU_1_HT4","KO_MNU_1_HT4","B_cells","treated","KO"
"B_cells_KO_MNU_2_HT1","KO_MNU_2_HT1","B_cells","treated","KO"
"B_cells_KO_MNU_2_HT2","KO_MNU_2_HT2","B_cells","treated","KO"
"B_cells_KO_MNU_2_HT3","KO_MNU_2_HT3","B_cells","treated","KO"
"B_cells_KO_MNU_2_HT4","KO_MNU_2_HT4","B_cells","treated","KO"
"B_cells_WT_HT1","WT_HT1","B_cells","untreated","WT"
"B_cells_WT_HT2","WT_HT2","B_cells","untreated","WT"
"B_cells_WT_HT3","WT_HT3","B_cells","untreated","WT"
"B_cells_WT_HT4","WT_HT4","B_cells","untreated","WT"
"B_cells_WT_MNU_1_HT1","WT_MNU_1_HT1","B_cells","treated","WT"
"B_cells_WT_MNU_1_HT3","WT_MNU_1_HT3","B_cells","treated","WT"
"B_cells_WT_MNU_1_HT4","WT_MNU_1_HT4","B_cells","treated","WT"
"B_cells_WT_MNU_1_HT5","WT_MNU_1_HT5","B_cells","treated","WT"
"B_cells_WT_MNU_2_HT1","WT_MNU_2_HT1","B_cells","treated","WT"
"B_cells_WT_MNU_2_HT3","WT_MNU_2_HT3","B_cells","treated","WT"
"B_cells_WT_MNU_2_HT4","WT_MNU_2_HT4","B_cells","treated","WT"
"B_cells_WT_MNU_2_HT5","WT_MNU_2_HT5","B_cells","treated","WT"
"CCR7_and_DCs_KO_HT1","KO_HT1","CCR7_and_DCs","untreated","KO"
"CCR7_and_DCs_KO_HT2","KO_HT2","CCR7_and_DCs","untreated","KO"
"CCR7_and_DCs_KO_HT3","KO_HT3","CCR7_and_DCs","untreated","KO"
"CCR7_and_DCs_KO_HT4","KO_HT4","CCR7_and_DCs","untreated","KO"
"CCR7_and_DCs_KO_MNU_1_HT1","KO_MNU_1_HT1","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_1_HT2","KO_MNU_1_HT2","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_1_HT3","KO_MNU_1_HT3","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_1_HT4","KO_MNU_1_HT4","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_2_HT1","KO_MNU_2_HT1","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_2_HT2","KO_MNU_2_HT2","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_2_HT3","KO_MNU_2_HT3","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_KO_MNU_2_HT4","KO_MNU_2_HT4","CCR7_and_DCs","treated","KO"
"CCR7_and_DCs_WT_HT1","WT_HT1","CCR7_and_DCs","untreated","WT"
"CCR7_and_DCs_WT_HT2","WT_HT2","CCR7_and_DCs","untreated","WT"
"CCR7_and_DCs_WT_HT3","WT_HT3","CCR7_and_DCs","untreated","WT"
"CCR7_and_DCs_WT_HT4","WT_HT4","CCR7_and_DCs","untreated","WT"
"CCR7_and_DCs_WT_MNU_1_HT1","WT_MNU_1_HT1","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_1_HT3","WT_MNU_1_HT3","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_1_HT4","WT_MNU_1_HT4","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_1_HT5","WT_MNU_1_HT5","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_2_HT1","WT_MNU_2_HT1","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_2_HT3","WT_MNU_2_HT3","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_2_HT4","WT_MNU_2_HT4","CCR7_and_DCs","treated","WT"
"CCR7_and_DCs_WT_MNU_2_HT5","WT_MNU_2_HT5","CCR7_and_DCs","treated","WT"
"CD4_or_CD8_KO_HT1","KO_HT1","CD4_or_CD8","untreated","KO"
"CD4_or_CD8_KO_HT2","KO_HT2","CD4_or_CD8","untreated","KO"
"CD4_or_CD8_KO_HT3","KO_HT3","CD4_or_CD8","untreated","KO"
"CD4_or_CD8_KO_HT4","KO_HT4","CD4_or_CD8","untreated","KO"
"CD4_or_CD8_KO_MNU_1_HT1","KO_MNU_1_HT1","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_1_HT2","KO_MNU_1_HT2","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_1_HT3","KO_MNU_1_HT3","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_1_HT4","KO_MNU_1_HT4","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_2_HT1","KO_MNU_2_HT1","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_2_HT2","KO_MNU_2_HT2","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_2_HT3","KO_MNU_2_HT3","CD4_or_CD8","treated","KO"
"CD4_or_CD8_KO_MNU_2_HT4","KO_MNU_2_HT4","CD4_or_CD8","treated","KO"
"CD4_or_CD8_WT_HT1","WT_HT1","CD4_or_CD8","untreated","WT"
"CD4_or_CD8_WT_HT2","WT_HT2","CD4_or_CD8","untreated","WT"
"CD4_or_CD8_WT_HT3","WT_HT3","CD4_or_CD8","untreated","WT"
"CD4_or_CD8_WT_HT4","WT_HT4","CD4_or_CD8","untreated","WT"
"CD4_or_CD8_WT_MNU_1_HT1","WT_MNU_1_HT1","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_1_HT3","WT_MNU_1_HT3","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_1_HT4","WT_MNU_1_HT4","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_1_HT5","WT_MNU_1_HT5","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_2_HT1","WT_MNU_2_HT1","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_2_HT3","WT_MNU_2_HT3","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_2_HT4","WT_MNU_2_HT4","CD4_or_CD8","treated","WT"
"CD4_or_CD8_WT_MNU_2_HT5","WT_MNU_2_HT5","CD4_or_CD8","treated","WT"
"DC1_KO_HT1","KO_HT1","DC1","untreated","KO"
"DC1_KO_HT2","KO_HT2","DC1","untreated","KO"
"DC1_KO_HT3","KO_HT3","DC1","untreated","KO"
"DC1_KO_HT4","KO_HT4","DC1","untreated","KO"
"DC1_KO_MNU_1_HT1","KO_MNU_1_HT1","DC1","treated","KO"
"DC1_KO_MNU_1_HT2","KO_MNU_1_HT2","DC1","treated","KO"
"DC1_KO_MNU_1_HT3","KO_MNU_1_HT3","DC1","treated","KO"
"DC1_KO_MNU_1_HT4","KO_MNU_1_HT4","DC1","treated","KO"
"DC1_KO_MNU_2_HT1","KO_MNU_2_HT1","DC1","treated","KO"
"DC1_KO_MNU_2_HT2","KO_MNU_2_HT2","DC1","treated","KO"
"DC1_KO_MNU_2_HT3","KO_MNU_2_HT3","DC1","treated","KO"
"DC1_KO_MNU_2_HT4","KO_MNU_2_HT4","DC1","treated","KO"
"DC1_WT_HT1","WT_HT1","DC1","untreated","WT"
"DC1_WT_HT2","WT_HT2","DC1","untreated","WT"
"DC1_WT_HT3","WT_HT3","DC1","untreated","WT"
"DC1_WT_HT4","WT_HT4","DC1","untreated","WT"
"DC1_WT_MNU_1_HT1","WT_MNU_1_HT1","DC1","treated","WT"
"DC1_WT_MNU_1_HT3","WT_MNU_1_HT3","DC1","treated","WT"
"DC1_WT_MNU_1_HT4","WT_MNU_1_HT4","DC1","treated","WT"
"DC1_WT_MNU_1_HT5","WT_MNU_1_HT5","DC1","treated","WT"
"DC1_WT_MNU_2_HT1","WT_MNU_2_HT1","DC1","treated","WT"
"DC1_WT_MNU_2_HT3","WT_MNU_2_HT3","DC1","treated","WT"
"DC1_WT_MNU_2_HT4","WT_MNU_2_HT4","DC1","treated","WT"
"DC1_WT_MNU_2_HT5","WT_MNU_2_HT5","DC1","treated","WT"
"endothelial_cells_and_stromal_cells_KO_HT1","KO_HT1","endothelial_cells_and_stromal_cells","untreated","KO"
"endothelial_cells_and_stromal_cells_KO_HT2","KO_HT2","endothelial_cells_and_stromal_cells","untreated","KO"
"endothelial_cells_and_stromal_cells_KO_HT3","KO_HT3","endothelial_cells_and_stromal_cells","untreated","KO"
"endothelial_cells_and_stromal_cells_KO_HT4","KO_HT4","endothelial_cells_and_stromal_cells","untreated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_1_HT1","KO_MNU_1_HT1","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_1_HT2","KO_MNU_1_HT2","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_1_HT3","KO_MNU_1_HT3","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_1_HT4","KO_MNU_1_HT4","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_2_HT1","KO_MNU_2_HT1","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_2_HT2","KO_MNU_2_HT2","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_2_HT3","KO_MNU_2_HT3","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_KO_MNU_2_HT4","KO_MNU_2_HT4","endothelial_cells_and_stromal_cells","treated","KO"
"endothelial_cells_and_stromal_cells_WT_HT1","WT_HT1","endothelial_cells_and_stromal_cells","untreated","WT"
"endothelial_cells_and_stromal_cells_WT_HT2","WT_HT2","endothelial_cells_and_stromal_cells","untreated","WT"
"endothelial_cells_and_stromal_cells_WT_HT3","WT_HT3","endothelial_cells_and_stromal_cells","untreated","WT"
"endothelial_cells_and_stromal_cells_WT_HT4","WT_HT4","endothelial_cells_and_stromal_cells","untreated","WT"
"endothelial_cells_and_stromal_cells_WT_MNU_1_HT1","WT_MNU_1_HT1","endothelial_cells_and_stromal_cells","treated","WT"
"endothelial_cells_and_stromal_cells_WT_MNU_1_HT3","WT_MNU_1_HT3","endothelial_cells_and_stromal_cells","treated","WT"
"endothelial_cells_and_stromal_cells_WT_MNU_1_HT4","WT_MNU_1_HT4","endothelial_cells_and_stromal_cells","treated","WT"
"endothelial_cells_and_stromal_cells_WT_MNU_1_HT5","WT_MNU_1_HT5","endothelial_cells_and_stromal_cells","treated","WT"
"endothelial_cells_and_stromal_cells_WT_MNU_2_HT1","WT_MNU_2_HT1","endothelial_cells_and_stromal_cells","treated","WT"
